id,name,lat,lon,coord_source,wikidata_id,wikidata_description,wiki_snippet,episodes
trap-tower,Trap Tower,51.514,-0.2158,wikipedia,,,"Hunt, Elle (13 June 2017). &quot;London fire: fears of people <span class=""searchmatch"">trapped</span> as major blaze engulfs <span class=""searchmatch"">tower</span> block – latest&quot;. The Guardian. Archived from the original","[1, 1735]"
week,Week,1.0,1.1,,,,"A <span class=""searchmatch"">week</span> is a unit of time equal to seven days. It is the standard time period used for short cycles of days in most parts of the world. The days are often","[1, 1682]"
horo,Horo,1.0,1.1,,,,"<span class=""searchmatch"">Horo</span> may refer to: <span class=""searchmatch"">Horo</span> (woreda), a woreda in Ethiopia <span class=""searchmatch"">Horo</span> (Eswatini), a village in Eswatini Justin <span class=""searchmatch"">Horo</span>, New Zealand Rugby League player, son of Mark","[1, 1680]"
wombat,Wombat,1.0,1.1,,,,"<span class=""searchmatch"">Wombats</span> are short-legged, muscular quadrupedal marsupials of the family Vombatidae that are native to Australia. Living species are about 1 m (40 in)","[1, 1637]"
nanatsu-islands,Nanatsu Islands,1.0,1.1,,,,"original on February 10, 2003. Retrieved September 29, 2008. &quot;One Piece: <span class=""searchmatch"">Nanatsu</span> Shima no Daihihou for Game Boy Advance&quot;. GameSpot. Archived from the original","[1, 1608]"
nyornyo-nyarmani,Nyornyo Nyarmani,1.0,1.1,,,,,"[1, 1606]"
mooji,Mooji,1.0,1.1,,,,"<span class=""searchmatch"">Mooji</span> (born Anthony Paul Moo-Young, January 29, 1954) is a Jamaican spiritual teacher of Advaita based in the UK and Portugal. He gives talks (satsang)","[1, 1599]"
one-piece-unlimited-world-red,One Piece: Unlimited World Red,,,,,,"<span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span>: <span class=""searchmatch"">Unlimited</span> <span class=""searchmatch"">World</span> <span class=""searchmatch"">Red</span> is an action-adventure game developed by Ganbarion and published by Bandai Namco Games for the Nintendo 3DS. Based on the","[1, 1582]"
nebulandia,Nebulandia,,,,,," &quot;One Piece Adventure of <span class=""searchmatch"">Nebulandia</span> TV Special Blu-ray/DVD&quot;. Right Stuf. 16 March 2019. &quot;One Piece Adventure of <span class=""searchmatch"">Nebulandia</span> - TV Special (Blu-Ray)&quot;. Madman","[1, 1513]"
one-piece-romance-dawn-the-dawn-of-the-adventure,One Piece Romance Dawn: The Dawn of the Adventure,,,,,,"<span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span>: <span class=""searchmatch"">Romance</span> <span class=""searchmatch"">Dawn</span> (<span class=""searchmatch"">ONE</span> <span class=""searchmatch"">PIECE</span>(ワンピース) <span class=""searchmatch"">ROMANCE</span> <span class=""searchmatch"">DAWN</span>(ロマンスドーン) 冒険の夜明け, Wan Pīsu: Romansu Dōn - Bōken no Yoake; &quot;<span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span>: <span class=""searchmatch"">Romance</span> <span class=""searchmatch"">Dawn</span> - <span class=""searchmatch"">Dawn</span> <span class=""searchmatch"">of</span> the","[1, 1499]"
eliza-odyssey,Eliza (Odyssey),1.0,1.1,,,,"Primetime Emmy Award. Soo gained prominence for originating the role of <span class=""searchmatch"">Eliza</span> Hamilton in the musical Hamilton on Broadway. She earned a nomination for","[1, 1457]"
sada,Sada,-12.848888888889,45.099722222222,wikidata,Q1920630,"commune in Mayotte, France",,"[1, 1383]"
bounty-maru,Bounty Maru,1.0,1.1,,,,"colonization. The <span class=""searchmatch"">Bounty</span> Hunters are a distinct group from the Colonist aliens. Although all Colonist aliens are shape-shifters, the Alien <span class=""searchmatch"">Bounty</span> Hunters readily","[1, 1371]"
one-piece-grand-adventure,One Piece: Grand Adventure,,,,,,"<span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span>: <span class=""searchmatch"">Grand</span> <span class=""searchmatch"">Adventure</span> is a video game for the PlayStation 2 and the GameCube based on the <span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span> manga series and its anime adaptation. It was","[1, 1174]"
chapter-1157,Chapter 1157,,,,,,"Year <span class=""searchmatch"">1157</span> (MCLVII) was a common year starting on Tuesday of the Julian calendar. January 12–March 16 – Caliph Al-Muqtafi successfully defends Baghdad against","[1, 1170]"
one-piece-burning-blood,One Piece: Burning Blood,,,,,,"<span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span>: <span class=""searchmatch"">Burning</span> <span class=""searchmatch"">Blood</span> is a fighting video game developed by Spike Chunsoft and published by Bandai Namco Entertainment. Based on the <span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span> franchise","[1, 1170]"
episode-guide-final-saga,Episode Guide/Final Saga,,,,,,"cut of the Buu <span class=""searchmatch"">Saga</span> (The <span class=""searchmatch"">Final</span> Chapters) features 8 <span class=""searchmatch"">episodes</span> worth of extra footage that was removed in the Japanese cut. The <span class=""searchmatch"">episodes</span> listed without","[1, 1155]"
sabo,Sabo,-1.123593909755042,121.80821895600444,wikidata,Q12511404,"village in Tojo Una Una Regency, Central Sulawesi, Indonesia",,"[2, 1155]"
koby,Koby,1.0,1.1,,,,"or <span class=""searchmatch"">Koby</span> is a male and female name, a surname, or a nickname originating from the name &quot;Jacob&quot; or &quot;Jakob&quot;. Top A B C D F H I J K L M O R S V W <span class=""searchmatch"">Koby</span> Abberton","[1, 1153]"
pirate,Pirate,1.0,1.1,,,,"of <span class=""searchmatch"">pirates</span> Piracy in the Atlantic World Piracy kidnappings <span class=""searchmatch"">Pirate</span> code <span class=""searchmatch"">Pirate</span> game <span class=""searchmatch"">Pirate</span> Party <span class=""searchmatch"">Pirate</span> Round <span class=""searchmatch"">Pirate</span> studies <span class=""searchmatch"">Pirate</span> utopia <span class=""searchmatch"">Pirates</span> World","[1, 1153]"
will-of-d,Will of D.,2.0,2.1,,,,"denarius) <span class=""searchmatch"">Ɖ</span> <span class=""searchmatch"">ɖ</span> : African <span class=""searchmatch"">D</span> <span class=""searchmatch"">Ð</span> <span class=""searchmatch"">ð</span> : Latin letter Eth <span class=""searchmatch"">D</span> with diacritics: <span class=""searchmatch"">Đ</span> <span class=""searchmatch"">đ</span> Ꟈ ꟈ <span class=""searchmatch"">Ɗ</span> <span class=""searchmatch"">ɗ</span> <span class=""searchmatch"">Ḋ</span> <span class=""searchmatch"">ḋ</span> <span class=""searchmatch"">Ḍ</span> <span class=""searchmatch"">ḍ</span> <span class=""searchmatch"">Ḑ</span> <span class=""searchmatch"">ḑ</span> <span class=""searchmatch"">Ḓ</span> <span class=""searchmatch"">ḓ</span> <span class=""searchmatch"">Ď</span> <span class=""searchmatch"">ď</span> <span class=""searchmatch"">Ḏ</span> <span class=""searchmatch"">ḏ</span> Phonetic symbols related to <span class=""searchmatch"">D</span>: Symbols related to <span class=""searchmatch"">D</span> used","[1, 1152]"
shanks-history,Shanks/History,2.0,2.1,,,,"2007, <span class=""searchmatch"">Shanks</span> joined the Fox Network series 24, guest-starring as lobbyist Mark Bishop in a three-episode arc for season 6. In 2008–2009, <span class=""searchmatch"">Shanks</span> had a","[4, 1153]"
helmeppo,Helmeppo,1.0,1.1,,,,"(海賊狩りのゾロ, Kaizoku-Gari no Zoro). Eventually, he comes into conflict with <span class=""searchmatch"">Helmeppo</span>, the spoiled son of a navy officer. To prevent the harm of innocent civilians","[2, 1150]"
gomu-gomu-no-mi,Gomu Gomu no Mi,1.0,1.1,,,,"km and 24 hours. The Global Organization of Multi-Day Ultramarathoners (<span class=""searchmatch"">GOMU</span>) holds World Championships for 48 hours and six days. World records are ratified","[1, 1148]"
usopp-history-during-and-after-the-timeskip,Usopp/History/During and After the Timeskip,2.0,2.1,,,,"famous nose of his mother, while <span class=""searchmatch"">the</span> rest of his face resembles that of his father. <span class=""searchmatch"">After</span> <span class=""searchmatch"">the</span> two-year <span class=""searchmatch"">timeskip</span>, <span class=""searchmatch"">Usopp</span> undergoes a dramatic physical transformation","[8, 1155]"
boodle,Boodle,51.50694444,-0.13944444,wikipedia,,,"<span class=""searchmatch"">Boodle&#039;s</span> is a gentlemen&#039;s club in London, England, with its clubhouse located at 28 St James&#039;s Street. Founded in January 1762 by Lord Shelburne, who later","[6, 1148]"
bufflo,Bufflo,1.0,1.1,,,,"BAA Buffalo was a planned basketball franchise in the Basketball Association of America (BAA), one of the forerunners of the modern National Basketball","[1, 1142]"
kaya,Kaya,1.0,1.1,,,,"Look up <span class=""searchmatch"">Kaya</span> or <span class=""searchmatch"">kaya</span> in Wiktionary, the free dictionary. <span class=""searchmatch"">Kaya</span> may refer to: <span class=""searchmatch"">Kaya</span> (given name) <span class=""searchmatch"">Kaya</span> (surname) <span class=""searchmatch"">Kaya</span>, Burkina Faso, a town in Burkina Faso","[9, 1147]"
ninjin,Ninjin,1.0,1.1,,,,"<span class=""searchmatch"">Ninjin</span> is the second original animated series from Cartoon Network Brazil (after Jorel&#039;s Brother), co-produced by Pocket Trap and Birdo Studio, based on","[9, 1147]"
